# unit,against,margin: mean surviving-value margin of `unit` over `against` at equal metal (+1 wiped them untouched, -1 the reverse).
# Mean of the tight and wide formation tables in docs/data/duels-2026-09-19 (run/matches duel harness, docs/harness/duels.md).
corfav,armflash,-0.532
corfav,armflea,-0.133
corfav,armham,-0.608
corfav,armjanus,-0.379
corfav,armjeth,0.808
corfav,armllt,-0.713
corfav,armpw,-0.442
corfav,armrock,-0.275
corfav,armstump,-0.443
corfav,armwar,-0.746
corfav,corak,-0.591
corfav,corcrash,0.758
corfav,corfav,-0.060
corfav,corgator,-0.603
corfav,corlevlr,-0.875
corfav,corllt,-0.648
corfav,cormist,-0.294
corfav,corraid,-0.532
corfav,corstorm,-0.348
corfav,corthud,-0.589
corfav,corwolv,0.152
corgator,armart,0.644
corgator,armfav,0.619
corgator,armflash,0.079
corgator,armflea,0.596
corgator,armham,-0.104
corgator,armjanus,-0.240
corgator,armjeth,0.913
corgator,armllt,0.440
corgator,armpw,0.044
corgator,armrock,0.452
corgator,armstump,-0.041
corgator,armwar,-0.348
corgator,corak,0.140
corgator,corcrash,0.934
corgator,corfav,0.603
corgator,corgator,0.001
corgator,corlevlr,-0.885
corgator,corllt,0.463
corgator,cormist,0.631
corgator,corraid,0.022
corgator,corstorm,0.310
corgator,corthud,0.034
corgator,corwolv,0.720
corlevlr,armart,0.912
corlevlr,armfav,0.804
corlevlr,armflash,0.888
corlevlr,armflea,0.892
corlevlr,armham,0.627
corlevlr,armjanus,0.333
corlevlr,armjeth,0.974
corlevlr,armllt,0.445
corlevlr,armpw,0.852
corlevlr,armrock,0.707
corlevlr,armstump,0.682
corlevlr,armwar,0.621
corlevlr,corak,0.922
corlevlr,corcrash,0.967
corlevlr,corfav,0.875
corlevlr,corgator,0.885
corlevlr,corlevlr,0.008
corlevlr,corllt,0.466
corlevlr,cormist,0.716
corlevlr,corraid,0.642
corlevlr,corstorm,0.625
corlevlr,corthud,0.545
corlevlr,corwolv,0.809
corllt,armart,0.362
corllt,armfav,0.677
corllt,armflash,-0.103
corllt,armflea,0.634
corllt,armham,-0.627
corllt,armjanus,-0.192
corllt,armjeth,0.986
corllt,armpw,0.135
corllt,armrock,-0.457
corllt,armstump,-0.589
corllt,armwar,-0.473
corllt,corak,0.133
corllt,corcrash,0.994
corllt,corfav,0.648
corllt,corgator,-0.463
corllt,corlevlr,-0.466
corllt,cormist,-0.895
corllt,corraid,-0.540
corllt,corstorm,-0.278
corllt,corthud,-0.631
corllt,corwolv,-0.024
cormist,armart,0.321
cormist,armfav,0.276
cormist,armflash,-0.631
cormist,armflea,0.383
cormist,armham,-0.659
cormist,armjanus,-0.317
cormist,armjeth,0.904
cormist,armllt,0.982
cormist,armpw,-0.252
cormist,armrock,-0.490
cormist,armstump,-0.641
cormist,armwar,-0.595
cormist,corak,-0.252
cormist,corcrash,0.900
cormist,corfav,0.294
cormist,corgator,-0.631
cormist,corlevlr,-0.716
cormist,corllt,0.895
cormist,cormist,-0.041
cormist,corraid,-0.651
cormist,corstorm,-0.577
cormist,corthud,-0.664
cormist,corwolv,0.197
corraid,armart,0.581
corraid,armfav,0.431
corraid,armflash,0.036
corraid,armflea,0.515
corraid,armham,-0.263
corraid,armjanus,-0.102
corraid,armjeth,0.899
corraid,armllt,0.426
corraid,armpw,0.359
corraid,armrock,0.302
corraid,armstump,0.171
corraid,armwar,-0.124
corraid,corak,0.406
corraid,corcrash,0.883
corraid,corfav,0.532
corraid,corgator,-0.022
corraid,corlevlr,-0.642
corraid,corllt,0.540
corraid,cormist,0.651
corraid,corraid,0.056
corraid,corstorm,0.203
corraid,corthud,-0.175
corraid,corwolv,0.507
corstorm,armart,0.556
corstorm,armfav,0.405
corstorm,armflash,-0.274
corstorm,armflea,0.371
corstorm,armham,-0.322
corstorm,armjanus,0.028
corstorm,armjeth,0.910
corstorm,armllt,0.439
corstorm,armpw,0.026
corstorm,armrock,0.235
corstorm,armstump,-0.159
corstorm,armwar,-0.186
corstorm,corak,0.184
corstorm,corcrash,0.925
corstorm,corfav,0.348
corstorm,corgator,-0.310
corstorm,corlevlr,-0.625
corstorm,corllt,0.278
corstorm,cormist,0.577
corstorm,corraid,-0.203
corstorm,corstorm,0.113
corstorm,corthud,-0.382
corstorm,corwolv,0.462
corthud,armart,0.692
corthud,armfav,0.565
corthud,armflash,-0.035
corthud,armflea,0.585
corthud,armham,-0.146
corthud,armjanus,0.094
corthud,armjeth,0.936
corthud,armllt,0.585
corthud,armpw,0.317
corthud,armrock,0.487
corthud,armstump,0.262
corthud,armwar,0.253
corthud,corak,0.363
corthud,corcrash,0.935
corthud,corfav,0.589
corthud,corgator,-0.034
corthud,corlevlr,-0.545
corthud,corllt,0.631
corthud,cormist,0.664
corthud,corraid,0.175
corthud,corstorm,0.382
corthud,corthud,0.000
corthud,corwolv,0.537
corwolv,armart,0.127
corwolv,armfav,-0.041
corwolv,armflash,-0.841
corwolv,armflea,-0.007
corwolv,armham,-0.526
corwolv,armjanus,-0.501
corwolv,armjeth,0.435
corwolv,armllt,-0.217
corwolv,armpw,-0.569
corwolv,armrock,-0.341
corwolv,armstump,-0.450
corwolv,armwar,-0.611
corwolv,corak,-0.443
corwolv,corcrash,0.445
corwolv,corfav,-0.152
corwolv,corgator,-0.720
corwolv,corlevlr,-0.809
corwolv,corllt,0.024
corwolv,cormist,-0.197
corwolv,corraid,-0.507
corwolv,corstorm,-0.462
corwolv,corthud,-0.537
corwolv,corwolv,-0.020
