faction,minute,matches,group,unit,mean_count,metal_each,tech
Cortex,30,23,mobile,corsumo,0.565,2200,2
Cortex,30,23,static,corhlt,2.348,480,1
Cortex,30,23,mobile,corack,1.957,470,2
Cortex,30,23,mobile,corstorm,7.565,110,1
Cortex,30,23,static,corpun,0.609,1300,1
Cortex,30,23,mobile,corthud,5.217,140,1
Cortex,30,23,static,corhllt,2.739,195,1
Cortex,30,23,mobile,corhrk,0.87,600,2
Cortex,30,23,mobile,corck,3.652,120,1
Cortex,30,23,static,corlab,0.826,470,1
Cortex,30,23,mobile,coraak,0.565,650,2
Cortex,30,23,mobile,cormort,0.913,400,2
Cortex,30,23,mobile,coramph,1.087,330,2
Cortex,30,23,static,coravp,0.13,2600,2
Cortex,30,23,mobile,cornecro,2.522,130,1
Cortex,30,23,mobile,corraid,1.217,235,1
Cortex,30,23,mobile,corban,0.261,1000,2
Cortex,30,23,mobile,corpyro,1.261,200,2
Cortex,30,23,mobile,coracv,0.391,580,2
Cortex,30,23,mobile,cortermite,0.391,540,2
Cortex,30,23,mobile,armck,1.739,110,1
Cortex,30,23,mobile,cormart,0.435,400,2
Cortex,30,23,mobile,corcan,0.304,560,2
Cortex,30,23,mobile,armham,1.217,130,1
Cortex,30,23,static,corflak,0.174,850,2
Cortex,30,23,static,corscreamer,0.087,1650,2
Cortex,30,23,mobile,corgol,0.087,1650,2
Cortex,30,23,mobile,corak,3.13,43,1
Cortex,30,23,static,corvipe,0.174,730,2
Cortex,30,23,mobile,corcv,0.739,145,1
Cortex,30,23,static,corvp,0.174,570,1
Cortex,30,23,mobile,armpw,1.696,54,1
Cortex,30,23,mobile,correap,0.13,690,2
Cortex,30,23,static,corrl,1.0,80,1
Cortex,30,23,mobile,corlevlr,0.261,220,1
Cortex,30,23,mobile,cormando,0.043,1200,2
Cortex,30,23,mobile,cormuskrat,0.304,170,1
Cortex,30,23,mobile,corfast,0.174,210,2
Cortex,30,23,mobile,corwolv,0.174,170,1
Cortex,30,23,mobile,corgator,0.217,120,1
Cortex,30,23,mobile,armwar,0.087,270,1
Cortex,30,23,static,corexp,0.043,240,1
Cortex,30,23,mobile,corvoyr,0.087,99,2
Cortex,30,23,mobile,cormist,0.043,155,1
Cortex,30,23,mobile,corvrad,0.043,100,2
Cortex,30,23,static,armllt,0.043,85,1
