our_faction,barb_faction,budget,spacing,scenario,mix,margin,sd,sem,wins_of
Armada,Armada,3000,56,t1only,t1+zeus(75),0.21,0.025,0.005,24/24
Armada,Armada,3000,160,t1only,t1-line,0.382,0.044,0.009,24/24
Armada,Armada,3000,160,t1only,t1-mace,0.322,0.091,0.019,24/24
Armada,Armada,3000,160,t1only,zeus,0.58,0.015,0.003,24/24
Armada,Armada,3000,160,t1only,mav,-0.165,0.104,0.021,4/24
Armada,Armada,3000,160,t1only,fido,-0.161,0.163,0.033,3/24
Armada,Armada,3000,160,t1only,sptk,-0.061,0.178,0.036,8/24
Armada,Armada,3000,160,t1only,snipe,-0.96,0.0,0.0,0/24
Armada,Armada,3000,160,t1only,fboy,0.536,0.017,0.004,24/24
Armada,Armada,3000,160,t1only,fast,-0.122,0.161,0.033,8/24
Armada,Armada,3000,160,t1only,amph,0.081,0.037,0.007,23/24
Armada,Armada,3000,160,t1only,t1+zeus,0.647,0.016,0.003,24/24
Armada,Armada,3000,160,t1only,t1+mav,-0.18,0.052,0.011,0/24
Armada,Armada,3000,160,t1only,t1+fido,0.544,0.044,0.009,24/24
Armada,Armada,3000,160,t1only,t1+sptk,0.608,0.039,0.008,24/24
Armada,Armada,3000,160,t1only,t1+snipe,-0.234,0.068,0.014,0/24
Armada,Armada,3000,160,t1only,t1+fboy,0.456,0.14,0.029,23/24
Armada,Armada,3000,160,t1only,zeus+fido,0.608,0.034,0.007,24/24
Armada,Armada,3000,160,t1only,zeus+sptk,0.622,0.042,0.009,24/24
Armada,Armada,3000,160,t1only,zeus+snipe,0.592,0.013,0.003,24/24
Armada,Armada,3000,160,t1only,mace+zeus,0.639,0.022,0.005,24/24
Armada,Armada,3000,160,t1only,t1+zeus+fido,0.514,0.008,0.002,24/24
Armada,Armada,3000,160,t1only,t1+zeus(25),0.553,0.022,0.004,24/24
Armada,Armada,3000,160,t1only,t1+zeus(75),0.621,0.02,0.004,24/24
Armada,Armada,3000,56,base6-hold,t1-line,-0.57,0.0,0.0,0/24
Armada,Armada,3000,56,base6-hold,t1-mace,-0.563,0.005,0.001,0/24
Armada,Armada,3000,56,base6-hold,zeus,-0.682,0.004,0.001,0/24
Armada,Armada,3000,56,base6-hold,mav,-0.65,0.0,0.0,0/24
Armada,Armada,3000,56,base6-hold,fido,-0.441,0.01,0.002,0/24
Armada,Armada,3000,56,base6-hold,sptk,-0.32,0.0,0.0,0/24
Armada,Armada,3000,56,base6-hold,snipe,-0.55,0.0,0.0,0/24
Armada,Armada,3000,56,base6-hold,fboy,1.0,0.0,0.0,24/24
Armada,Armada,3000,56,base6-hold,fast,-0.765,0.009,0.002,0/24
Armada,Armada,3000,56,base6-hold,amph,-0.734,0.011,0.002,0/24
Armada,Armada,3000,56,base6-hold,t1+zeus,-0.61,0.0,0.0,0/24
Armada,Armada,3000,56,base6-hold,t1+mav,-0.589,0.01,0.002,0/24
Armada,Armada,3000,56,base6-hold,t1+fido,-0.51,0.0,0.0,0/24
Armada,Armada,3000,56,base6-hold,t1+sptk,-0.322,0.008,0.002,0/24
Armada,Armada,3000,56,base6-hold,t1+snipe,-0.558,0.004,0.001,0/24
Armada,Armada,3000,56,base6-hold,t1+fboy,0.46,0.0,0.0,24/24
Armada,Armada,3000,56,base6-hold,zeus+fido,-0.52,0.0,0.0,0/24
Armada,Armada,3000,56,base6-hold,zeus+sptk,-0.244,0.018,0.004,0/24
Armada,Armada,3000,56,base6-hold,zeus+snipe,-0.58,0.0,0.0,0/24
Armada,Armada,3000,56,base6-hold,mace+zeus,-0.616,0.005,0.001,0/24
Armada,Armada,3000,56,base6-hold,t1+zeus+fido,-0.549,0.003,0.001,0/24
Armada,Armada,3000,56,base6-hold,t1+zeus(25),-0.57,0.002,0.0,0/24
Armada,Armada,3000,56,base6-hold,t1+zeus(75),-0.64,0.002,0.0,0/24
Armada,Armada,3000,160,base6-hold,t1-line,-0.388,0.015,0.003,0/24
Armada,Armada,3000,160,base6-hold,t1-mace,-0.318,0.015,0.003,0/24
Armada,Armada,3000,160,base6-hold,zeus,-0.226,0.021,0.004,0/24
Armada,Armada,3000,160,base6-hold,mav,-0.451,0.018,0.004,0/24
Armada,Armada,3000,160,base6-hold,fido,-0.348,0.006,0.001,0/24
Armada,Armada,3000,160,base6-hold,sptk,-0.175,0.022,0.005,0/24
Armada,Armada,3000,160,base6-hold,snipe,-0.417,0.031,0.006,0/24
Armada,Armada,3000,160,base6-hold,fboy,1.0,0.0,0.0,24/24
Armada,Armada,3000,160,base6-hold,fast,-0.5,0.011,0.002,0/24
Armada,Armada,3000,160,base6-hold,amph,-0.444,0.011,0.002,0/24
Armada,Armada,3000,160,base6-hold,t1+zeus,-0.337,0.01,0.002,0/24
Armada,Armada,3000,160,base6-hold,t1+mav,-0.339,0.011,0.002,0/24
Armada,Armada,3000,160,base6-hold,t1+fido,-0.424,0.005,0.001,0/24
Armada,Armada,3000,160,base6-hold,t1+sptk,-0.375,0.021,0.004,0/24
Armada,Armada,3000,160,base6-hold,t1+snipe,-0.424,0.032,0.007,0/24
Armada,Armada,3000,160,base6-hold,t1+fboy,0.456,0.005,0.001,24/24
Armada,Armada,3000,160,base6-hold,zeus+fido,-0.388,0.017,0.004,0/24
Armada,Armada,3000,160,base6-hold,zeus+sptk,-0.349,0.016,0.003,0/24
Armada,Armada,3000,160,base6-hold,zeus+snipe,-0.345,0.007,0.001,0/24
Armada,Armada,3000,160,base6-hold,mace+zeus,-0.276,0.008,0.002,0/24
Armada,Armada,3000,160,base6-hold,t1+zeus+fido,-0.365,0.009,0.002,0/24
Armada,Armada,3000,160,base6-hold,t1+zeus(25),-0.307,0.015,0.003,0/24
Armada,Armada,3000,160,base6-hold,t1+zeus(75),-0.25,0.048,0.01,0/24
Armada,Armada,3000,56,base6-out,t1-line,-0.437,0.026,0.005,0/24
Armada,Armada,3000,56,base6-out,t1-mace,-0.436,0.021,0.004,0/24
Armada,Armada,3000,56,base6-out,zeus,-0.443,0.005,0.001,0/24
Armada,Armada,3000,56,base6-out,mav,-0.56,0.0,0.0,0/24
Armada,Armada,3000,56,base6-out,fido,-0.425,0.011,0.002,0/24
Armada,Armada,3000,56,base6-out,sptk,-0.474,0.12,0.025,0/24
Armada,Armada,3000,56,base6-out,snipe,-1.0,0.0,0.0,0/24
Armada,Armada,3000,56,base6-out,fboy,0.681,0.055,0.011,24/24
Armada,Armada,3000,56,base6-out,fast,-0.587,0.034,0.007,0/24
Armada,Armada,3000,56,base6-out,amph,-0.528,0.004,0.001,0/24
Armada,Armada,3000,56,base6-out,t1+zeus,-0.386,0.01,0.002,0/24
Armada,Armada,3000,56,base6-out,t1+mav,-0.547,0.023,0.005,0/24
Armada,Armada,3000,56,base6-out,t1+fido,-0.414,0.034,0.007,0/24
Armada,Armada,3000,56,base6-out,t1+sptk,-0.476,0.096,0.02,0/24
Armada,Armada,3000,56,base6-out,t1+snipe,-0.499,0.026,0.005,0/24
Armada,Armada,3000,56,base6-out,t1+fboy,0.299,0.086,0.018,24/24
Armada,Armada,3000,56,base6-out,zeus+fido,-0.388,0.016,0.003,0/24
Armada,Armada,3000,56,base6-out,zeus+sptk,-0.354,0.024,0.005,0/24
Armada,Armada,3000,56,base6-out,zeus+snipe,-0.479,0.004,0.001,0/24
Armada,Armada,3000,56,base6-out,mace+zeus,-0.434,0.012,0.002,0/24
Armada,Armada,3000,56,base6-out,t1+zeus+fido,-0.403,0.019,0.004,0/24
Armada,Armada,3000,56,base6-out,t1+zeus(25),-0.43,0.028,0.006,0/24
Armada,Armada,3000,56,base6-out,t1+zeus(75),-0.447,0.013,0.003,0/24
Armada,Armada,3000,160,base6-out,t1-line,-0.308,0.011,0.002,0/24
Armada,Armada,3000,160,base6-out,t1-mace,-0.369,0.02,0.004,0/24
Armada,Armada,3000,160,base6-out,zeus,-0.135,0.021,0.004,0/24
Armada,Armada,3000,160,base6-out,mav,-0.426,0.055,0.011,0/24
Armada,Armada,3000,160,base6-out,fido,-0.549,0.046,0.009,0/24
Armada,Armada,3000,160,base6-out,sptk,-0.543,0.038,0.008,0/24
Armada,Armada,3000,160,base6-out,snipe,-0.93,0.0,0.0,0/24
Armada,Armada,3000,160,base6-out,fboy,0.443,0.061,0.012,24/24
Armada,Armada,3000,160,base6-out,fast,-0.575,0.036,0.007,0/24
Armada,Armada,3000,160,base6-out,amph,-0.336,0.019,0.004,0/24
Armada,Armada,3000,160,base6-out,t1+zeus,-0.26,0.015,0.003,0/24
Armada,Armada,3000,160,base6-out,t1+mav,-0.461,0.044,0.009,0/24
