match,site,sequence,x,y,rep,x_end,x_team,n_x,n_y,metal_x,metal_y,winner,reason,seconds,contact_seconds,survivors_x,survivors_y,value_left_x,value_left_y,damage_taken_x,damage_taken_y
0,0,141,armflash,corlevlr,0,west,0,10,5,1100,1100,y,wiped,13.0,7.5,0,5,0.000,0.926,8038,558
1,1,135,armjeth,armstump,3,east,1,9,5,1125,1125,y,wiped,31.0,8.5,0,5,0.000,0.882,6228,1109
0,1,142,corcrash,armjanus,2,west,1,10,5,1250,1200,y,wiped,26.0,10.5,0,5,0.000,0.835,7635,897
0,0,142,corthud,corllt,0,west,0,9,14,1260,1260,x,wiped,48.5,16.0,7,0,0.556,0.000,4490,9961
1,1,136,armjeth,corraid,3,east,1,11,6,1375,1410,y,wiped,26.5,9.0,0,6,0.000,0.981,7899,238
0,1,143,armjanus,armart,2,west,1,5,9,1200,1215,x,wiped,33.5,11.0,5,0,0.564,0.000,2366,6542
1,0,137,armart,armllt,2,west,1,10,16,1350,1360,y,wiped,104.5,15.0,0,5,0.000,0.220,6469,8947
0,0,143,armwar,armflash,0,west,0,4,10,1080,1100,x,wiped,18.0,6.5,4,0,0.283,0.000,4714,7673
1,1,137,armrock,corlevlr,1,east,0,11,6,1320,1320,y,wiped,21.5,10.0,0,6,0.000,0.679,9238,2793
0,1,144,corak,corak,0,west,0,28,28,1204,1204,y,wiped,25.5,6.0,0,8,0.000,0.082,8308,7601
1,0,138,armwar,corwolv,0,west,0,5,8,1350,1360,x,wiped,22.5,9.5,5,0,0.699,0.000,2530,6069
0,0,144,armwar,armstump,0,west,0,5,6,1350,1350,x,wiped,27.0,7.5,4,0,0.165,0.000,6891,11208
0,1,145,armpw,corlevlr,0,west,0,21,5,1134,1100,y,wiped,13.5,7.5,0,5,0.000,0.828,9279,1295
1,1,138,armpw,armpw,0,west,0,22,22,1188,1188,y,wiped,25.0,6.0,0,5,0.000,0.145,8521,7281
1,1,139,armflash,armstump,2,west,1,10,5,1100,1125,x,wiped,24.0,7.0,6,0,0.409,0.000,4758,9240
1,0,139,armjeth,corwolv,3,east,1,11,8,1375,1360,y,wiped,57.0,22.5,0,6,0.000,0.579,8819,2883
0,0,145,armjeth,armllt,2,west,1,10,15,1250,1275,y,wiped,69.0,13.5,0,15,0.000,1.000,6407,1
1,0,140,armpw,corlevlr,1,east,0,21,5,1134,1100,y,wiped,13.0,7.5,0,5,0.000,0.779,9674,1639
1,1,140,armflash,corraid,0,west,0,11,5,1210,1175,x,wiped,28.5,7.0,3,0,0.193,0.000,6966,10355
0,1,146,corwolv,corllt,3,east,1,8,15,1360,1350,x,wiped,96.5,23.0,6,0,0.557,0.000,2779,11550
0,0,146,corak,corstorm,1,east,0,28,11,1204,1210,x,wiped,32.5,7.5,7,0,0.119,0.000,8712,8631
1,0,141,armrock,corwolv,1,east,0,10,7,1200,1190,x,wiped,26.5,10.5,9,0,0.554,0.000,3351,5526
1,1,141,corstorm,corcrash,1,east,0,8,7,880,875,x,wiped,28.0,10.0,8,0,1.000,0.000,0,5223
