match,site,sequence,x,y,rep,x_end,x_team,n_x,n_y,metal_x,metal_y,winner,reason,seconds,contact_seconds,survivors_x,survivors_y,value_left_x,value_left_y,damage_taken_x,damage_taken_y
2,0,131,armfav,corgator,1,east,0,39,10,1209,1200,y,wiped,16.0,5.0,0,10,0.000,0.626,4694,3180
3,0,126,corcrash,armart,6,west,1,10,9,1250,1215,y,wiped,93.0,18.5,0,2,0.000,0.200,7204,5216
2,1,124,armrock,corfav,6,west,1,10,46,1200,1196,x,wiped,16.0,6.0,7,0,0.457,0.000,4038,7801
3,1,123,corthud,corthud,0,west,0,9,9,1260,1260,y,wiped,49.0,10.5,0,2,0.000,0.106,10851,9477
3,0,127,corthud,armstump,2,west,1,8,5,1120,1125,x,wiped,34.5,8.5,3,0,0.260,0.000,6990,9626
2,0,132,armham,armham,5,east,0,9,9,1170,1170,x,wiped,51.0,10.5,1,0,0.013,0.000,9624,9889
2,1,125,armjeth,corwolv,0,west,0,11,8,1375,1360,y,wiped,56.5,21.5,0,3,0.000,0.177,8196,5976
3,1,124,corraid,cormist,4,west,0,6,9,1410,1395,x,wiped,37.0,7.5,5,0,0.662,0.000,4197,8383
3,0,128,armwar,cormist,2,west,1,4,7,1080,1085,x,wiped,26.5,8.5,4,0,0.611,0.000,2525,6182
2,0,133,corstorm,armfav,6,west,1,11,39,1210,1209,x,wiped,23.5,5.5,4,0,0.234,0.000,6449,7516
3,1,125,corcrash,armjanus,2,west,1,10,5,1250,1200,y,wiped,19.5,11.0,0,5,0.000,0.819,6898,970
2,1,126,armflea,armfav,7,east,1,57,39,1197,1209,x,wiped,22.0,4.0,27,0,0.389,0.000,2373,4406
3,0,129,armham,armstump,3,east,1,7,4,910,900,x,wiped,29.5,9.0,4,0,0.437,0.000,4175,7530
2,0,134,corcrash,armflash,6,west,1,7,8,875,880,y,wiped,15.5,7.5,0,8,0.000,0.958,4506,258
3,1,126,armham,armjanus,6,west,1,11,6,1430,1440,y,wiped,27.0,11.0,0,3,0.000,0.201,12750,5358
